country,iso3,year,emissions_mt,emissions_per_capita,finance_usd_millions,finance_usd_billions,finance_per_emission,emission_rank,finance_rank,rank_difference
Australia,AUS,2024,386.732,14.477,800,0.8,2.0686159924702374,6.0,13.0,-7.0
Belgium,BEL,2024,85.456,7.28,600,0.6,7.021157086687886,12.0,14.5,-2.5
Canada,CAN,2024,533.34,13.42,1200,1.2,2.249971875351558,5.0,10.5,-5.5
France,FRA,2024,264.156,3.969,7200,7.2,27.25662108753918,9.0,3.0,6.0
Germany,DEU,2024,572.319,6.769,6500,6.5,11.357302483405235,4.0,4.0,0.0
Italy,ITA,2024,301.93,5.088,4200,4.2,13.910509058391018,8.0,5.0,3.0
Japan,JPN,2024,961.867,7.772,13500,13.5,14.035204451343066,2.0,1.0,1.0
Netherlands,NLD,2024,114.785,6.297,1800,1.8,15.681491484078931,11.0,8.0,3.0
Norway,NOR,2024,37.183,6.668,1200,1.2,32.27281284457951,14.0,10.5,3.5
South Korea,KOR,2024,583.679,11.286,900,0.9,1.5419434312353195,3.0,12.0,-9.0
Spain,ESP,2024,220.341,4.599,2100,2.1,9.530681988372567,10.0,7.0,3.0
Sweden,SWE,2024,38.097,3.592,1500,1.5,39.373178990471686,13.0,9.0,4.0
Switzerland,CHE,2024,32.072,3.595,600,0.6,18.70790720878024,15.0,14.5,0.5
United Kingdom,GBR,2024,312.906,4.526,2800,2.8,8.948374272145628,7.0,6.0,1.0
United States,USA,2024,4904.12,14.197,11500,11.5,2.344967088896683,1.0,2.0,-1.0
